label,keyword_hit,arxiv_scibert_cl_hit,elsevier_hit,arxiv_scibert_hit,arxiv_scibert_cv_hit,subject_hit,arxiv_scibert_ro_hit,Count,Pct
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Ro,True,False,True,True,False,True,True,310,0.003945626718256797
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv,True,True,True,False,True,True,False,0,0.0
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Ro,True,True,True,False,False,True,True,0,0.0
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,False,True,False,True,True,True,0,0.0
Keyword ∩ Elsevier ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv,True,True,True,True,True,False,False,15,0.00019091742185113532
Keyword ∩ Elsevier ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Ro,True,True,True,True,False,False,True,3,3.8183484370227064e-05
Keyword ∩ Elsevier ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,False,True,True,True,False,True,26,0.00033092353120863454
Keyword ∩ Elsevier ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,True,False,True,False,True,0,0.0
Keyword ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv,True,True,False,True,True,True,False,4,5.0911312493636085e-05
Keyword ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Ro,True,True,False,True,False,True,True,1,1.2727828123409021e-05
Keyword ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,False,False,True,True,True,True,32,0.0004072904999490887
Keyword ∩ Subject ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,False,False,True,True,True,0,0.0
Keyword ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,False,True,True,False,True,0,0.0
Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv,False,True,True,True,True,True,False,8,0.00010182262498727217
Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Ro,False,True,True,True,False,True,True,4,5.0911312493636085e-05
Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,False,False,True,True,True,True,True,10,0.00012727828123409023
Elsevier ∩ Subject ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,False,True,True,False,True,True,True,0,0.0
Elsevier ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,False,True,True,True,True,False,True,0,0.0
Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,False,True,False,True,True,True,True,0,0.0
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv,True,True,True,True,True,True,False,34,0.0004327461561959067
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Ro,True,True,True,True,False,True,True,4,5.0911312493636085e-05
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,False,True,True,True,True,True,114,0.0014509724060686284
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,True,False,True,True,True,0,0.0
Keyword ∩ Elsevier ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,True,True,True,False,True,0,0.0
Keyword ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,False,True,True,True,True,0,0.0
Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,False,True,True,True,True,True,True,0,0.0
Keyword ∩ Elsevier ∩ Subject ∩ Arxiv_Scibert ∩ Arxiv_Scibert_Cl ∩ Arxiv_Scibert_Cv ∩ Arxiv_Scibert_Ro,True,True,True,True,True,True,True,0,0.0
