wos_subject,ds_subject,mag_subject,count
Automation & Control Systems,Information and Computing Sciences,Mathematics,1581
"Engineering, Electrical & Electronic",Engineering,Computer science,1509
"Computer Science, Information Systems",Information and Computing Sciences,Mathematics,1481
"Engineering, Multidisciplinary",,,1432
"Computer Science, Interdisciplinary Applications",,,1390
Veterinary Sciences,,Medicine,1388
,Engineering;Information and Computing Sciences,Computer science,1331
Gastroenterology & Hepatology,,Medicine,1279
"Computer Science, Theory & Methods",,,1274
"Engineering, Electrical & Electronic",Information and Computing Sciences,,1250
Audiology & Speech-Language Pathology,,Psychology,1248
"Computer Science, Information Systems",Information and Computing Sciences,,1233
Behavioral Sciences,,Psychology,1223
Automation & Control Systems,Information and Computing Sciences,,1213
,Biological Sciences,Biology,1199
Acoustics,,Computer science,1195
"Computer Science, Artificial Intelligence",Engineering,Computer science,1190
Imaging Science & Photographic Technology,Information and Computing Sciences,Computer science,1153
Automation & Control Systems,Engineering,Computer science,1138
"Engineering, Electrical & Electronic",,Physics,1136
Linguistics,,Sociology,1126
Orthopedics,,Medicine,1121
"Physics, Multidisciplinary",,,1107
Multidisciplinary Sciences,,,1092
,Information and Computing Sciences,Medicine,1075
"Computer Science, Cybernetics",,Computer science,1066
"Humanities, Multidisciplinary",,,1056
Oncology,,,1055
Automation & Control Systems,Mathematical Sciences,Computer science,1041
"Engineering, Biomedical",,Computer science,1022
,Medical and Health Sciences,Computer science,1008
,Medical and Health Sciences,Psychology,982
"Engineering, Biomedical",,Medicine,979
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Engineering,966
"Engineering, Electrical & Electronic",Engineering,Engineering,949
,Economics,,930
"Engineering, Electrical & Electronic",,Engineering,910
"Engineering, Industrial",Information and Computing Sciences,Engineering,893
"Computer Science, Artificial Intelligence",Mathematical Sciences,Mathematics,881
Education & Educational Research,,Computer science,880
Anesthesiology,,Medicine,868
"Computer Science, Software Engineering",,Computer science,863
,Mathematical Sciences,Engineering,857
Psychology,,Psychology,832
Clinical Neurology,,,831
,Information and Computing Sciences,Geography,829
"Chemistry, Multidisciplinary",,,813
Surgery,,,805
"Psychology, Biological",,Psychology,792
Automation & Control Systems,,Mathematics,786
,Engineering,Mathematics,779
"Computer Science, Artificial Intelligence",,Psychology,779
,Engineering,Medicine,773
"Radiology, Nuclear Medicine & Medical Imaging",,,755
"Materials Science, Multidisciplinary",,,754
"Engineering, Multidisciplinary",,Mathematics,747
"Social Sciences, Interdisciplinary",,,745
,Engineering;Information and Computing Sciences,,742
Robotics,Information and Computing Sciences,Mathematics,739
"Engineering, Mechanical",,Engineering,735
,Information and Computing Sciences,Psychology,727
Optics,,Computer science,712
Optics,,,711
Optics,Physical Sciences,Physics,707
"Computer Science, Artificial Intelligence",Engineering;Information and Computing Sciences,Computer science,707
"Engineering, Mechanical",,,705
,Engineering,Materials science,704
Automation & Control Systems,Mathematical Sciences,Mathematics,696
Clinical Neurology,Medical and Health Sciences,Psychology,695
,Information and Computing Sciences;Mathematical Sciences,Computer science,691
Neurosciences,Medical and Health Sciences,Biology,679
"Psychology, Social",,Psychology,674
"Engineering, Biomedical",,,670
"Computer Science, Theory & Methods",Information and Computing Sciences,Mathematics,667
Linguistics,,Philosophy,656
Pediatrics,,Medicine,655
Acoustics,,,654
Veterinary Sciences,,,644
,Economics,Computer science,638
Otorhinolaryngology,,Medicine,638
"Computer Science, Information Systems",Engineering,Computer science,635
"Computer Science, Hardware & Architecture",,Computer science,630
,Medical and Health Sciences,Biology,629
Clinical Neurology,,Psychology,628
Robotics,Information and Computing Sciences,,612
"Engineering, Multidisciplinary",,Engineering,605
"Computer Science, Information Systems",Mathematical Sciences,Computer science,605
"Engineering, Electrical & Electronic",Mathematical Sciences,Computer science,600
"Computer Science, Artificial Intelligence",Engineering;Information and Computing Sciences,Mathematics,594
Automation & Control Systems,Engineering,Mathematics,593
Law,,,590
Optics,Engineering;Physical Sciences,Physics,588
"Medicine, Research & Experimental",,Medicine,588
"Engineering, Geological",,,585
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Mathematics,582
"Engineering, Electrical & Electronic",Engineering;Technology,Mathematics,577
"Computer Science, Software Engineering",,,570
"Engineering, Mechanical",Engineering,Engineering,566
"Engineering, Biomedical",Engineering,Computer science,564
"Psychology, Educational",,Psychology,562
"Psychology, Multidisciplinary",,,559
"Computer Science, Theory & Methods",Information and Computing Sciences,Engineering,559
Language & Linguistics,,Computer science,555
Multidisciplinary Sciences,,Psychology,550
Multidisciplinary Sciences,,Biology,537
Economics,,,533
Behavioral Sciences,Medical and Health Sciences,Psychology,533
"Engineering, Industrial",,,533
"Engineering, Electrical & Electronic",Engineering;Information and Computing Sciences,Computer science,533
"Psychology, Clinical",,Psychology,529
"Mathematics, Applied",Mathematical Sciences,Mathematics,525
"Engineering, Industrial",,Engineering,524
"Engineering, Electrical & Electronic",Engineering;Technology,Computer science,520
Business,,,518
Statistics & Probability,Mathematical Sciences,Mathematics,517
,Biological Sciences,Computer science,516
,Engineering;Information and Computing Sciences,Engineering,511
,Technology,Computer science,503
"Dentistry, Oral Surgery & Medicine",,,503
"Computer Science, Software Engineering",Information and Computing Sciences,,498
Remote Sensing,Engineering,Geology,497
Geochemistry & Geophysics,,,493
Telecommunications,Information and Computing Sciences,Computer science,489
"Computer Science, Theory & Methods",Mathematical Sciences,Computer science,488
"Engineering, Biomedical",Engineering,Engineering,488
"Engineering, Biomedical",Medical and Health Sciences,Computer science,485
Health Care Sciences & Services,,Medicine,485
Multidisciplinary Sciences,,Medicine,484
"Engineering, Multidisciplinary",Information and Computing Sciences,Engineering,483
Dermatology,,Medicine,480
"Engineering, Mechanical",Engineering,Mathematics,475
Multidisciplinary Sciences,Information and Computing Sciences,Computer science,470
"Engineering, Biomedical",Information and Computing Sciences,Engineering,470
"Engineering, Manufacturing",Engineering,Engineering,468
Neurosciences,,,463
Endocrinology & Metabolism,,Medicine,462
Urology & Nephrology,,,457
Cardiac & Cardiovascular Systems,,Medicine,457
Language & Linguistics,,Psychology,455
Optics,Information and Computing Sciences,Physics,455
Geochemistry & Geophysics,Earth Sciences;Engineering,Mathematics,453
Automation & Control Systems,Mathematical Sciences,Engineering,448
"Computer Science, Software Engineering",Information and Computing Sciences,Mathematics,446
Pharmacology & Pharmacy,,Medicine,445
"Computer Science, Artificial Intelligence",,Engineering,443
Multidisciplinary Sciences,,Computer science,442
"Engineering, Civil",Engineering,Engineering,439
"Computer Science, Artificial Intelligence",Information and Computing Sciences;Mathematical Sciences,Computer science,438
"Engineering, Multidisciplinary",,Computer science,433
"Mathematics, Applied",,Mathematics,433
"Computer Science, Artificial Intelligence",Medical and Health Sciences,Computer science,432
,Engineering,Chemistry,431
Clinical Neurology,Medical and Health Sciences,,428
,Economics,Mathematics,428
Critical Care Medicine,,Medicine,422
"Engineering, Multidisciplinary",Information and Computing Sciences,Computer science,418
Communication,,Psychology,416
"Computer Science, Theory & Methods",Information and Computing Sciences,,416
Spectroscopy,,,406
"Computer Science, Artificial Intelligence",Mathematical Sciences,,404
"Psychology, Mathematical",,Psychology,404
"Chemistry, Analytical",,Chemistry,402
Linguistics,,Mathematics,402
Robotics,,Computer science,401
Statistics & Probability,,Mathematics,400
Philosophy,,Psychology,398
"Engineering, Biomedical",,Engineering,398
Ophthalmology,,Psychology,398
Neurosciences,Medical and Health Sciences,Medicine,398
"Engineering, Electrical & Electronic",Engineering,Mathematics,396
Pathology,,Medicine,393
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,Engineering,384
Optics,Information and Computing Sciences,Computer science,382
Orthopedics,,,381
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,,381
"Engineering, Manufacturing",Information and Computing Sciences,Engineering,379
Rehabilitation,,Medicine,377
"Geography, Physical",Engineering,Mathematics,375
"Psychology, Experimental",,,374
Robotics,,,373
Economics,Economics,Economics,373
"Medicine, Research & Experimental",,,370
Geochemistry & Geophysics,Information and Computing Sciences,Mathematics,369
Education & Educational Research,,Sociology,367
"Education, Special",,Psychology,367
Construction & Building Technology,,Engineering,366
"Computer Science, Interdisciplinary Applications",,Engineering,366
"Engineering, Manufacturing",,Engineering,366
Anesthesiology,,,365
"Computer Science, Interdisciplinary Applications",Engineering,Engineering,362
,Physical Sciences,,361
"Chemistry, Multidisciplinary",,Chemistry,358
"Computer Science, Hardware & Architecture",,,351
"Engineering, Mechanical",Information and Computing Sciences,Engineering,350
Obstetrics & Gynecology,,Medicine,348
,Information and Computing Sciences;Mathematical Sciences,Mathematics,346
Automation & Control Systems,Engineering;Information and Computing Sciences,Computer science,343
"Engineering, Multidisciplinary",Information and Computing Sciences,,338
"Radiology, Nuclear Medicine & Medical Imaging",Medical and Health Sciences,Medicine,338
Philosophy,,Sociology,338
Automation & Control Systems,Engineering;Mathematical Sciences,Mathematics,338
"Computer Science, Interdisciplinary Applications",,Mathematics,334
,Technology,,333
"Chemistry, Analytical",,,330
"Engineering, Civil",Information and Computing Sciences,Engineering,328
"Computer Science, Theory & Methods",Engineering,Computer science,326
Food Science & Technology,Engineering,Chemistry,324
"Computer Science, Information Systems",Information and Computing Sciences,Engineering,324
"Engineering, Marine",Information and Computing Sciences,Engineering,323
Oncology,,Biology,321
"Computer Science, Interdisciplinary Applications",Mathematical Sciences,Mathematics,314
Pharmacology & Pharmacy,,,313
"Computer Science, Artificial Intelligence",Engineering,Engineering,312
,Biological Sciences,Chemistry,310
Communication,,Sociology,309
Biochemical Research Methods,Information and Computing Sciences,Computer science,308
Remote Sensing,,,307
"Engineering, Aerospace",Engineering,Engineering,306
Ethics,,Psychology,303
Biochemistry & Molecular Biology,,Biology,303
"Engineering, Multidisciplinary",Engineering,Engineering,302
"Computer Science, Theory & Methods",,Mathematics,301
Spectroscopy,,Chemistry,301
,Information and Computing Sciences,Materials science,301
"Mathematics, Applied",,,299
,Information and Computing Sciences,Biology,298
Economics,,Economics,298
Law,,Sociology,297
Instruments & Instrumentation,Physical Sciences,Physics,296
"Engineering, Biomedical",Information and Computing Sciences,,295
"Engineering, Industrial",Engineering,Engineering,295
"Engineering, Aerospace",Information and Computing Sciences,Engineering,294
Architecture,,,294
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Psychology,292
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Computer science,292
"Engineering, Multidisciplinary",Mathematical Sciences,Mathematics,290
Thermodynamics,Engineering,Engineering,288
"Engineering, Electrical & Electronic",,Geography,288
Automation & Control Systems,Engineering;Information and Computing Sciences,Engineering,287
Operations Research & Management Science,Mathematical Sciences,Mathematics,287
Mathematical & Computational Biology,,,285
Emergency Medicine,,Medicine,285
"Engineering, Industrial",Information and Computing Sciences,Computer science,284
Gastroenterology & Hepatology,,,283
Biology,,Biology,281
Acoustics,Mathematical Sciences,Computer science,280
"Medicine, General & Internal",Medical and Health Sciences,Medicine,280
Psychology,,,279
Management,,,278
,Engineering,Geography,278
,Information and Computing Sciences;Mathematical Sciences,,277
"Computer Science, Information Systems",,Mathematics,275
"Engineering, Electrical & Electronic",Mathematical Sciences,Mathematics,275
History,,,275
"Computer Science, Artificial Intelligence",Economics,Computer science,274
"Engineering, Biomedical",,Physics,271
Optics,Information and Computing Sciences,,270
Remote Sensing,Engineering;Physical Sciences,Geology,269
"Computer Science, Hardware & Architecture",Information and Computing Sciences,,268
"Computer Science, Artificial Intelligence",Information and Computing Sciences;Mathematical Sciences,Mathematics,268
"Computer Science, Interdisciplinary Applications",Mathematical Sciences,Computer science,267
Health Care Sciences & Services,Information and Computing Sciences,Medicine,266
,Biological Sciences,Medicine,265
Neurosciences,Medical and Health Sciences,,264
Ethics,,Sociology,263
"Chemistry, Multidisciplinary",Information and Computing Sciences,,262
"Computer Science, Information Systems",Engineering;Information and Computing Sciences,Computer science,261
Veterinary Sciences,,Biology,261
Robotics,,Engineering,260
Optics,Engineering;Physical Sciences;Technology,Physics,260
Ophthalmology,,,259
"Psychology, Developmental",,,258
,Information and Computing Sciences;Technology,Computer science,257
Communication,,,257
Mathematical & Computational Biology,Medical and Health Sciences,Computer science,256
Ophthalmology,,Medicine,256
"Computer Science, Artificial Intelligence",Biological Sciences,Computer science,255
"Computer Science, Interdisciplinary Applications",Engineering,Mathematics,255
"Public, Environmental & Occupational Health",,Medicine,253
,Engineering,Environmental science,252
"Computer Science, Interdisciplinary Applications",Engineering,Computer science,252
Optics,,Mathematics,252
Neurosciences,,Computer science,251
"Engineering, Biomedical",Engineering,Medicine,250
"Engineering, Electrical & Electronic",Engineering,,248
"Computer Science, Information Systems",Mathematical Sciences,Mathematics,247
Psychiatry,,Psychology,247
Geriatrics & Gerontology,,Medicine,247
Imaging Science & Photographic Technology,,Computer science,245
"Computer Science, Cybernetics",,,244
"Engineering, Mechanical",Information and Computing Sciences,Computer science,244
Biotechnology & Applied Microbiology,,,243
"Physics, Multidisciplinary",,Mathematics,243
"Geography, Physical",Engineering,Geography,242
Energy & Fuels,,,241
"Psychology, Applied",,Psychology,238
"Engineering, Mechanical",Information and Computing Sciences,,237
"Engineering, Aerospace",Engineering,Mathematics,237
"Geography, Physical",Information and Computing Sciences,Geography,236
,Physical Sciences,Computer science,236
Neurosciences,,Biology,235
Transportation Science & Technology,Information and Computing Sciences,Engineering,234
"Engineering, Manufacturing",,,233
"Computer Science, Hardware & Architecture",Information and Computing Sciences,Engineering,233
Biochemistry & Molecular Biology,Biological Sciences,Biology,232
"Engineering, Aerospace",,,232
"Chemistry, Analytical",Engineering,Computer science,232
"Dentistry, Oral Surgery & Medicine",,Materials science,231
Environmental Sciences,Engineering,Mathematics,231
"Psychology, Experimental",,Computer science,230
,Economics,Economics,230
Robotics,Engineering,Engineering,229
Biochemical Research Methods,,Biology,229
Medical Laboratory Technology,,Medicine,229
"Geography, Physical",,,226
"Psychology, Multidisciplinary",,Computer science,226
"Chemistry, Organic",,,225
Otorhinolaryngology,,,222
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Medicine,222
"Engineering, Biomedical",Engineering;Information and Computing Sciences,Computer science,221
"Mathematics, Applied",Information and Computing Sciences,Mathematics,220
Acoustics,Engineering,Computer science,219
Automation & Control Systems,Engineering,,218
Dermatology,,,217
"Engineering, Mechanical",,Mathematics,217
Remote Sensing,,Geography,217
Art,,,215
Robotics,Engineering;Information and Computing Sciences,Engineering,215
Rehabilitation,,,215
Geochemistry & Geophysics,Engineering,Mathematics,215
"Radiology, Nuclear Medicine & Medical Imaging",Engineering;Physical Sciences,Physics,214
"Engineering, Electrical & Electronic",Technology,Computer science,212
Political Science,,,210
"Engineering, Biomedical",Engineering;Technology,Mathematics,210
,Information and Computing Sciences,Physics,210
"Engineering, Manufacturing",Engineering,Materials science,208
Respiratory System,,Medicine,208
Biology,Information and Computing Sciences,Computer science,208
Automation & Control Systems,Information and Computing Sciences;Mathematical Sciences,Computer science,207
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Geography,207
"Engineering, Marine",Engineering,Engineering,206
"Geosciences, Multidisciplinary",Information and Computing Sciences,Computer science,205
Neurosciences,,Medicine,204
"Computer Science, Artificial Intelligence",,Physics,204
Language & Linguistics,,Sociology,202
,Engineering;Physical Sciences,,202
History & Philosophy Of Science,,Mathematics,202
Philosophy,,Mathematics,201
"Agriculture, Multidisciplinary",Information and Computing Sciences,Engineering,201
"Computer Science, Hardware & Architecture",Engineering,Computer science,200
Environmental Sciences,,,199
"Chemistry, Analytical",Engineering,,198
"Education, Scientific Disciplines",,,197
Literature,,,195
Nursing,,Medicine,194
"Engineering, Multidisciplinary",Engineering;Mathematical Sciences,Engineering,193
Pediatrics,,,192
Robotics,Information and Computing Sciences,Psychology,191
Management,,Economics,190
"Geography, Physical",Engineering,Computer science,189
"Psychology, Clinical",,,189
"Medicine, Legal",,Medicine,189
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Psychology,188
"Engineering, Electrical & Electronic",Medical and Health Sciences,Computer science,187
Multidisciplinary Sciences,Information and Computing Sciences,,186
"Geosciences, Multidisciplinary",,Geology,186
Biochemistry & Molecular Biology,Medical and Health Sciences,Biology,185
,Engineering,Geology,184
Mathematical & Computational Biology,Information and Computing Sciences,Computer science,183
Biochemistry & Molecular Biology,,,183
"Geography, Physical",Information and Computing Sciences,Computer science,183
Energy & Fuels,Information and Computing Sciences,Engineering,183
"Engineering, Civil",,,182
Religion,,,182
"Computer Science, Hardware & Architecture",Information and Computing Sciences,Mathematics,181
Geochemistry & Geophysics,,Geology,181
"Engineering, Biomedical",Information and Computing Sciences,Medicine,180
Remote Sensing,Engineering,Geography,179
Optics,,Geography,178
History & Philosophy Of Science,,Philosophy,178
Business,,Psychology,177
Ethics,,,176
"Computer Science, Theory & Methods",Mathematical Sciences,Mathematics,175
"Engineering, Mechanical",,Computer science,175
Remote Sensing,Information and Computing Sciences,Mathematics,175
Mathematical & Computational Biology,Information and Computing Sciences,Engineering,175
"Radiology, Nuclear Medicine & Medical Imaging",,Computer science,174
Metallurgy & Metallurgical Engineering,,,173
"Agriculture, Dairy & Animal Science",,Biology,173
"Mathematics, Interdisciplinary Applications",Mathematical Sciences,Mathematics,172
,Information and Computing Sciences,Business,172
Automation & Control Systems,Mathematical Sciences,,172
Remote Sensing,Engineering;Physical Sciences,,171
Instruments & Instrumentation,,,171
Health Care Sciences & Services,,,168
Business,,Economics,168
"Public, Environmental & Occupational Health",,,168
Multidisciplinary Sciences,Medical and Health Sciences,Biology,168
"Engineering, Multidisciplinary",Information and Computing Sciences,Mathematics,167
Biotechnology & Applied Microbiology,,Biology,167
Mathematical & Computational Biology,Engineering;Mathematical Sciences,Computer science,165
Remote Sensing,Engineering,Computer science,165
"Computer Science, Artificial Intelligence",,Medicine,164
"Computer Science, Artificial Intelligence",Engineering,Mathematics,164
Acoustics,,Physics,164
"Materials Science, Multidisciplinary",Engineering,Materials science,163
Sociology,,,163
,Information and Computing Sciences;Mathematical Sciences,Engineering,163
,Information and Computing Sciences;Medical and Health Sciences,Computer science,162
Management,,Mathematics,162
Construction & Building Technology,Engineering,Engineering,162
"Psychology, Biological",,,161
Transportation Science & Technology,,Engineering,160
,Biological Sciences,Mathematics,160
"Computer Science, Software Engineering",,Mathematics,160
Multidisciplinary Sciences,Biological Sciences,Biology,160
Biology,,,160
"Social Sciences, Interdisciplinary",,Psychology,160
Agricultural Engineering,,,160
Psychiatry,,,159
Pathology,,Biology,159
Multidisciplinary Sciences,Information and Computing Sciences,Medicine,159
"Computer Science, Theory & Methods",,Engineering,158
Mathematical & Computational Biology,,Computer science,157
"Agriculture, Multidisciplinary",,,157
Neurosciences,Medical and Health Sciences,Computer science,157
"Geography, Physical",,Geography,156
Metallurgy & Metallurgical Engineering,Engineering,Materials science,156
Rehabilitation,Medical and Health Sciences,Medicine,156
"Engineering, Mechanical",Engineering,,155
Energy & Fuels,Information and Computing Sciences,Computer science,155
Geriatrics & Gerontology,Medical and Health Sciences,Psychology,155
"Literature, Romance",,,154
Statistics & Probability,,,153
"Materials Science, Ceramics",,,153
Multidisciplinary Sciences,Information and Computing Sciences,Mathematics,153
"Engineering, Electrical & Electronic",Engineering;Information and Computing Sciences,Mathematics,153
Operations Research & Management Science,,,152
"Engineering, Manufacturing",Information and Computing Sciences,Computer science,152
"Chemistry, Applied",,Chemistry,151
Pathology,,,151
,Medical and Health Sciences,Engineering,151
"Engineering, Mechanical",Engineering,Computer science,151
Information Science & Library Science,Information and Computing Sciences,Computer science,150
Biophysics,Engineering,Engineering,149
"Chemistry, Medicinal",,,148
"Engineering, Aerospace",Information and Computing Sciences,Computer science,148
Imaging Science & Photographic Technology,,,147
Anthropology,,,147
Business,,Business,147
"Engineering, Aerospace",,Engineering,147
"Engineering, Biomedical",,Psychology,146
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,Mathematics,146
"Engineering, Biomedical",Information and Computing Sciences,Mathematics,146
Biotechnology & Applied Microbiology,,Medicine,146
"Engineering, Biomedical",Medical and Health Sciences,Medicine,146
Optics,,Engineering,145
Robotics,Engineering,Computer science,145
,Information and Computing Sciences,Geology,143
Mathematical & Computational Biology,Engineering,,143
,Physical Sciences,Medicine,143
Multidisciplinary Sciences,Information and Computing Sciences,Biology,143
Cardiac & Cardiovascular Systems,,,143
Mathematics,,,142
Sociology,,Sociology,142
Anesthesiology,Medical and Health Sciences,Medicine,141
Political Science,,Sociology,141
Nursing,,,140
"Computer Science, Theory & Methods",Engineering;Information and Computing Sciences,Computer science,140
Energy & Fuels,Engineering,Engineering,140
Criminology & Penology,,Psychology,140
Management,Information and Computing Sciences,Mathematics,140
"Computer Science, Interdisciplinary Applications",Engineering;Information and Computing Sciences,Computer science,139
"Engineering, Industrial",,Computer science,138
Language & Linguistics,,Mathematics,138
Biochemical Research Methods,,Computer science,138
Rheumatology,,Medicine,137
Robotics,Engineering;Information and Computing Sciences,Mathematics,136
Automation & Control Systems,Engineering;Mathematical Sciences,Engineering,136
"Engineering, Electrical & Electronic",Mathematical Sciences,Engineering,135
Environmental Sciences,Engineering,Geography,135
"Psychology, Educational",,,135
Immunology,,Medicine,135
Food Science & Technology,,,134
"Geosciences, Multidisciplinary",,,134
Acoustics,,Medicine,134
"Engineering, Manufacturing",,Computer science,133
Remote Sensing,Engineering,,133
"Engineering, Biomedical",Mathematical Sciences,Computer science,133
History & Philosophy Of Science,Information and Computing Sciences,Mathematics,133
Oncology,Medical and Health Sciences,Medicine,133
Forestry,,,132
Energy & Fuels,,Engineering,132
"Materials Science, Multidisciplinary",Information and Computing Sciences,Engineering,132
"Physics, Multidisciplinary",,Physics,132
"Engineering, Chemical",Engineering,Chemistry,131
Health Care Sciences & Services,Information and Computing Sciences,,130
"Computer Science, Information Systems",Medical and Health Sciences,Computer science,130
"Computer Science, Interdisciplinary Applications",,Psychology,130
"Humanities, Multidisciplinary",,Psychology,129
"Computer Science, Information Systems",,Engineering,129
Polymer Science,,,129
,Information and Computing Sciences,Economics,128
Integrative & Complementary Medicine,,Medicine,128
Information Science & Library Science,,,128
"Engineering, Biomedical",Medical and Health Sciences,Psychology,128
Rehabilitation,,Psychology,128
"Hospitality, Leisure, Sport & Tourism",,,127
"Engineering, Electrical & Electronic",Engineering;Information and Computing Sciences,Engineering,127
"Engineering, Electrical & Electronic",Information and Computing Sciences;Mathematical Sciences,Computer science,127
Hematology,,Medicine,127
,Medical and Health Sciences,Mathematics,126
Emergency Medicine,,,126
"Computer Science, Software Engineering",Mathematical Sciences,Computer science,126
Biochemical Research Methods,Biological Sciences,Computer science,126
"Hospitality, Leisure, Sport & Tourism",,Psychology,125
,Technology,Engineering,124
Geography,,,124
"Mathematics, Applied",,Computer science,124
Biophysics,Information and Computing Sciences,Computer science,123
Multidisciplinary Sciences,Medical and Health Sciences,Medicine,123
Endocrinology & Metabolism,,,122
"Engineering, Mechanical",Engineering;Mathematical Sciences,Engineering,122
"Computer Science, Information Systems",Technology,Computer science,122
Ethics,,Philosophy,122
Geriatrics & Gerontology,,Psychology,122
"Computer Science, Information Systems",Information and Computing Sciences;Technology,Computer science,121
"Computer Science, Software Engineering",Engineering,Mathematics,121
"Computer Science, Information Systems",Economics,Computer science,120
Operations Research & Management Science,,Mathematics,120
Audiology & Speech-Language Pathology,,,120
Agronomy,,,118
Statistics & Probability,Mathematical Sciences,,118
Metallurgy & Metallurgical Engineering,,Materials science,118
"Engineering, Multidisciplinary",Engineering,Materials science,118
Education & Educational Research,Information and Computing Sciences,Computer science,118
Obstetrics & Gynecology,,,117
"Engineering, Biomedical",Engineering,,117
"Engineering, Civil",,Engineering,117
"Education, Scientific Disciplines",,Medicine,117
Infectious Diseases,,Medicine,116
"Engineering, Biomedical",Engineering;Physical Sciences,Physics,115
,Engineering,Biology,115
History & Philosophy Of Science,,,115
Biochemical Research Methods,,,114
,Information and Computing Sciences,Sociology,114
"Medicine, General & Internal",Medical and Health Sciences,,114
"Chemistry, Physical",,Chemistry,114
Management,Mathematical Sciences,Mathematics,114
"Mathematics, Interdisciplinary Applications",,,113
Acoustics,Engineering,Mathematics,113
Pharmacology & Pharmacy,Medical and Health Sciences,Medicine,113
