wos_subject,ds_subject,mag_subject,count
Clinical Neurology,Medical and Health Sciences,Psychology,238
Statistics & Probability,Mathematical Sciences,Mathematics,233
"Medicine, General & Internal",,Medicine,233
Optics,Physical Sciences,Physics,232
Cardiac & Cardiovascular Systems,,Medicine,227
Automation & Control Systems,Information and Computing Sciences,Engineering,225
Energy & Fuels,Engineering,Engineering,220
Thermodynamics,Engineering,Engineering,218
"Engineering, Biomedical",Information and Computing Sciences,Computer science,217
Health Care Sciences & Services,,Medicine,215
Biochemical Research Methods,,Biology,209
"Engineering, Electrical & Electronic",,Mathematics,208
"Engineering, Electrical & Electronic",Technology,Computer science,208
,Biological Sciences,Computer science,203
"Computer Science, Artificial Intelligence",Information and Computing Sciences,,200
"Engineering, Electrical & Electronic",Engineering,Mathematics,199
,Medical and Health Sciences,Medicine,199
"Computer Science, Artificial Intelligence",Mathematical Sciences,Mathematics,199
Psychiatry,,Psychology,197
"Physics, Multidisciplinary",,Physics,195
"Computer Science, Information Systems",Information and Computing Sciences,,190
Thermodynamics,Engineering,Physics,187
"Education, Scientific Disciplines",,Medicine,186
Multidisciplinary Sciences,,Medicine,185
Automation & Control Systems,,Mathematics,183
,Information and Computing Sciences,Medicine,179
,Medical and Health Sciences,Computer science,179
Construction & Building Technology,Engineering,Materials science,179
"Computer Science, Interdisciplinary Applications",Mathematical Sciences,Mathematics,178
Biochemical Research Methods,,Chemistry,177
"Engineering, Electrical & Electronic",Information and Computing Sciences,Mathematics,176
Microbiology,Biological Sciences,Biology,175
Energy & Fuels,,Engineering,173
"Computer Science, Information Systems",Engineering,Computer science,173
Clinical Neurology,,Psychology,172
Astronomy & Astrophysics,Physical Sciences,Physics,171
"Engineering, Multidisciplinary",Mathematical Sciences,Mathematics,171
Fisheries,,Biology,170
Information Science & Library Science,,,164
"Engineering, Mechanical",,,161
,Engineering,Mathematics,160
Neurosciences,,Biology,160
"Mathematics, Applied",,,160
,Mathematical Sciences,Engineering,160
Biology,,Biology,159
"Mathematics, Interdisciplinary Applications",Mathematical Sciences,Mathematics,158
,Physical Sciences,Physics,157
Biochemistry & Molecular Biology,,Chemistry,157
"Psychology, Experimental",,Psychology,157
Automation & Control Systems,Engineering,Mathematics,156
,Information and Computing Sciences,Materials science,154
Clinical Neurology,,Medicine,154
Forestry,,Biology,153
Automation & Control Systems,Engineering,Engineering,152
Optics,,Computer science,151
,Physical Sciences,,151
,Information and Computing Sciences;Mathematical Sciences,Computer science,151
Remote Sensing,Engineering,Geology,151
Telecommunications,Information and Computing Sciences,Computer science,150
Surgery,,Medicine,150
Energy & Fuels,Engineering,Chemistry,150
Environmental Sciences,,,149
"Psychology, Clinical",,Psychology,149
Environmental Sciences,,Geology,148
Education & Educational Research,,Sociology,148
Information Science & Library Science,Information and Computing Sciences,Computer science,148
"Engineering, Civil",,,147
Biochemistry & Molecular Biology,Medical and Health Sciences,Biology,146
Construction & Building Technology,,Engineering,146
"Computer Science, Artificial Intelligence",Engineering;Information and Computing Sciences,Mathematics,146
"Physics, Multidisciplinary",,,145
"Education, Scientific Disciplines",,,144
,,Art,144
Multidisciplinary Sciences,Medical and Health Sciences,Biology,144
Automation & Control Systems,Engineering,Computer science,143
"Computer Science, Cybernetics",Information and Computing Sciences,Computer science,143
"Chemistry, Medicinal",,Chemistry,143
Ecology,Biological Sciences,Biology,141
Biochemical Research Methods,Information and Computing Sciences,Computer science,141
Biology,Biological Sciences,Biology,140
"Engineering, Electrical & Electronic",Mathematical Sciences,Computer science,139
Energy & Fuels,Information and Computing Sciences,Engineering,139
Cell Biology,Biological Sciences,Biology,139
"Engineering, Multidisciplinary",,Mathematics,138
"Computer Science, Information Systems",Information and Computing Sciences,Mathematics,137
Green & Sustainable Science & Technology,,Economics,134
"Computer Science, Information Systems",Technology,Computer science,133
,Economics,,133
Neurosciences,,,132
Automation & Control Systems,Information and Computing Sciences,Mathematics,131
Food Science & Technology,Engineering,Chemistry,131
Business,,,130
Statistics & Probability,,Mathematics,130
Biochemistry & Molecular Biology,Biological Sciences,Chemistry,129
,Engineering;Information and Computing Sciences,,128
Neurosciences,Medical and Health Sciences,,127
Remote Sensing,Engineering;Physical Sciences,Geology,127
,Information and Computing Sciences,Physics,126
"Computer Science, Information Systems",Mathematical Sciences,Computer science,126
Optics,Engineering;Physical Sciences,Physics,125
"Physics, Applied",,Physics,122
"Computer Science, Hardware & Architecture",Technology,Computer science,122
"Engineering, Electrical & Electronic",Information and Computing Sciences;Technology,Computer science,119
Remote Sensing,Engineering,Geography,119
Construction & Building Technology,Engineering,Engineering,119
"Chemistry, Multidisciplinary",,,118
Ecology,,,118
"Public, Environmental & Occupational Health",,,117
Environmental Sciences,Engineering,Geology,117
Operations Research & Management Science,Mathematical Sciences,Mathematics,117
,Engineering,Chemistry,116
"Psychology, Developmental",,Psychology,116
"Psychology, Biological",,Psychology,116
"Engineering, Mechanical",Engineering,Mathematics,115
Gastroenterology & Hepatology,,Medicine,115
"Engineering, Electrical & Electronic",Information and Computing Sciences,,112
"Computer Science, Hardware & Architecture",,Computer science,112
Audiology & Speech-Language Pathology,,Psychology,112
Orthopedics,,Medicine,112
Oncology,,,111
Instruments & Instrumentation,Physical Sciences,Physics,111
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Engineering,111
Agronomy,,Biology,111
,Information and Computing Sciences,Biology,110
"Engineering, Multidisciplinary",,Engineering,109
"Engineering, Mechanical",Engineering,Engineering,109
,Engineering,Geology,109
"Dentistry, Oral Surgery & Medicine",,Medicine,108
"Education, Scientific Disciplines",,Psychology,107
"Engineering, Biomedical",,Medicine,107
Plant Sciences,,Biology,107
Mathematics,Mathematical Sciences,Mathematics,106
Automation & Control Systems,Engineering;Mathematical Sciences,Mathematics,106
Spectroscopy,,,104
"Engineering, Multidisciplinary",Engineering,Engineering,104
"Computer Science, Theory & Methods",Mathematical Sciences,Computer science,103
Nursing,,Medicine,103
"Engineering, Biomedical",Engineering,Computer science,103
"Engineering, Mechanical",,Engineering,102
"Computer Science, Artificial Intelligence",Engineering,Computer science,102
"Computer Science, Information Systems",Information and Computing Sciences;Technology,Computer science,102
"Computer Science, Interdisciplinary Applications",Engineering,Mathematics,102
Biochemical Research Methods,Biological Sciences,Computer science,102
"Engineering, Biomedical",,Computer science,101
,Technology,,101
"Engineering, Biomedical",,,101
Pharmacology & Pharmacy,,Chemistry,101
Soil Science,,Geology,100
"Engineering, Industrial",,Engineering,100
"Engineering, Electrical & Electronic",Engineering;Information and Computing Sciences,Computer science,99
Optics,,,99
Energy & Fuels,,,99
,Economics,Economics,99
Astronomy & Astrophysics,,,97
Instruments & Instrumentation,,Physics,96
"Computer Science, Theory & Methods",Information and Computing Sciences,Mathematics,96
"Radiology, Nuclear Medicine & Medical Imaging",Engineering;Physical Sciences,Physics,96
Ophthalmology,,Medicine,96
"Medicine, Research & Experimental",,Medicine,96
"Engineering, Aerospace",Engineering,Engineering,95
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Engineering,95
Economics,,Economics,94
"Chemistry, Analytical",Engineering,Chemistry,94
Biotechnology & Applied Microbiology,,Biology,94
"Engineering, Manufacturing",Engineering,Materials science,94
Economics,,,93
"Engineering, Mechanical",Engineering,Materials science,93
Biochemistry & Molecular Biology,,,93
,,History,93
"Engineering, Industrial",,,93
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Computer science,93
"Computer Science, Hardware & Architecture",Information and Computing Sciences;Technology,Computer science,92
"Education, Scientific Disciplines",,Computer science,91
"Computer Science, Interdisciplinary Applications",Engineering,Computer science,91
"Engineering, Mechanical",Mathematical Sciences,Mathematics,91
"Computer Science, Hardware & Architecture",Engineering,Computer science,90
"Computer Science, Artificial Intelligence",Biological Sciences,Computer science,90
Critical Care Medicine,,Medicine,90
"Medicine, General & Internal",,,89
Endocrinology & Metabolism,,Biology,89
"Computer Science, Artificial Intelligence",Medical and Health Sciences,Computer science,89
Mathematical & Computational Biology,Medical and Health Sciences,Computer science,89
Green & Sustainable Science & Technology,Engineering,Engineering,89
Environmental Sciences,Earth Sciences;Engineering,Geology,89
Psychology,,Psychology,89
"Materials Science, Multidisciplinary",,,88
"Geography, Physical",,Geology,88
,Engineering,Environmental science,86
,Information and Computing Sciences,Business,86
Pediatrics,,Medicine,86
"Engineering, Electrical & Electronic",Engineering,,85
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Medicine,85
"Engineering, Electrical & Electronic",Mathematical Sciences,Mathematics,84
Optics,Engineering;Physical Sciences;Technology,Physics,84
Environmental Sciences,,Biology,84
Automation & Control Systems,,Engineering,83
"Computer Science, Software Engineering",,Computer science,83
"Social Sciences, Interdisciplinary",,,83
Cell Biology,,Biology,83
Biochemical Research Methods,Information and Computing Sciences,Biology,83
"Computer Science, Hardware & Architecture",,,82
"Engineering, Multidisciplinary",Information and Computing Sciences,Engineering,82
Geriatrics & Gerontology,Medical and Health Sciences,Psychology,82
Multidisciplinary Sciences,Information and Computing Sciences,Computer science,82
"Geosciences, Multidisciplinary",Earth Sciences,Geology,82
Education & Educational Research,,Engineering,81
"Computer Science, Artificial Intelligence",Information and Computing Sciences;Mathematical Sciences,Computer science,81
Information Science & Library Science,,Computer science,80
Mathematical & Computational Biology,,,80
Geochemistry & Geophysics,,Geology,80
"Psychology, Educational",,Psychology,80
Biochemical Research Methods,,,79
"Education, Scientific Disciplines",,Engineering,79
Business,,Economics,79
Multidisciplinary Sciences,,Psychology,79
Biochemical Research Methods,Biological Sciences,,79
"Engineering, Industrial",Information and Computing Sciences,Engineering,79
"Engineering, Mechanical",,Mathematics,79
Urology & Nephrology,,Medicine,79
,Information and Computing Sciences,Geography,78
Economics,Economics,Economics,78
"Computer Science, Interdisciplinary Applications",Engineering,Engineering,78
Psychiatry,Medical and Health Sciences,Psychology,78
"Radiology, Nuclear Medicine & Medical Imaging",,,77
"Computer Science, Interdisciplinary Applications",,Mathematics,77
Pharmacology & Pharmacy,,,77
Endocrinology & Metabolism,,Medicine,77
Pharmacology & Pharmacy,,Medicine,77
Spectroscopy,,Chemistry,76
Construction & Building Technology,,,76
Thermodynamics,Engineering,Chemistry,76
Remote Sensing,Engineering;Physical Sciences,,75
"Materials Science, Multidisciplinary",,Materials science,75
"Computer Science, Theory & Methods",Technology,Computer science,75
,Engineering,Geography,75
"Engineering, Geological",Engineering,Geology,75
Statistics & Probability,,,74
Biotechnology & Applied Microbiology,,,74
,Economics,Computer science,73
Biochemistry & Molecular Biology,Biological Sciences,,73
,Medical and Health Sciences,Mathematics,72
Multidisciplinary Sciences,,Computer science,72
"Engineering, Multidisciplinary",Engineering;Mathematical Sciences,Engineering,72
Optics,Engineering,Physics,72
Geochemistry & Geophysics,Earth Sciences;Engineering,Mathematics,71
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Mathematics,71
Linguistics,,Psychology,71
"Engineering, Civil",Engineering,Geology,71
Telecommunications,Technology,Computer science,70
,Engineering,Physics,70
"Geosciences, Multidisciplinary",,,70
"Computer Science, Artificial Intelligence",Technology,Computer science,69
"Computer Science, Hardware & Architecture",Engineering;Technology,Computer science,69
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Biology,69
"Computer Science, Software Engineering",,,68
Remote Sensing,,,68
"Agriculture, Multidisciplinary",,,68
Clinical Neurology,Medical and Health Sciences,,68
Automation & Control Systems,Information and Computing Sciences,,68
Neurosciences,Medical and Health Sciences,Medicine,68
Obstetrics & Gynecology,,Medicine,68
Acoustics,Information and Computing Sciences,Computer science,68
"Engineering, Multidisciplinary",Information and Computing Sciences,Computer science,67
Automation & Control Systems,Mathematical Sciences,,67
Statistics & Probability,Mathematical Sciences,,67
"Engineering, Multidisciplinary",Engineering,Mathematics,67
"Medicine, Research & Experimental",,Biology,67
Mathematics,,,66
"Humanities, Multidisciplinary",,,66
"Engineering, Civil",,Geology,66
Geochemistry & Geophysics,Earth Sciences,Geology,66
Fisheries,Biological Sciences,Biology,66
Remote Sensing,Engineering,,65
"Chemistry, Physical",Engineering,Chemistry,65
Management,,Economics,65
"Engineering, Mechanical",Engineering,,65
Immunology,,Medicine,65
Business,,Business,65
Clinical Neurology,,,64
"Medicine, Research & Experimental",,,64
Virology,,Biology,64
Infectious Diseases,,Biology,64
Rheumatology,,Medicine,64
,Information and Computing Sciences;Mathematical Sciences,Mathematics,63
Geochemistry & Geophysics,,,63
,Engineering;Information and Computing Sciences,Engineering,63
"Engineering, Electrical & Electronic",Engineering;Technology,Computer science,63
Pharmacology & Pharmacy,,Biology,63
"Engineering, Aerospace",Information and Computing Sciences,Engineering,63
"Engineering, Biomedical",Medical and Health Sciences,Computer science,63
"Physics, Fluids & Plasmas",,Physics,62
Nursing,,,62
Optics,,Engineering,62
Optics,Information and Computing Sciences,Computer science,62
"Engineering, Geological",,,62
Behavioral Sciences,,Biology,62
"Engineering, Multidisciplinary",,Computer science,62
Biochemical Research Methods,Biological Sciences,Chemistry,62
,Biological Sciences,Chemistry,62
Neurosciences,,Computer science,62
"Engineering, Electrical & Electronic",Engineering,Physics,61
"Engineering, Environmental",Engineering,Chemistry,61
Acoustics,,Computer science,61
"Geography, Physical",Engineering,Mathematics,61
Energy & Fuels,Information and Computing Sciences,Computer science,60
"Computer Science, Theory & Methods",Information and Computing Sciences,,60
Management,,,60
"Computer Science, Theory & Methods",Engineering,Computer science,60
Remote Sensing,,Geography,59
Health Care Sciences & Services,Information and Computing Sciences,Medicine,59
Mathematical & Computational Biology,Information and Computing Sciences,Computer science,59
Education & Educational Research,,Medicine,58
"Mathematics, Applied",Mathematical Sciences,,58
Gastroenterology & Hepatology,,Biology,58
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,,58
"Engineering, Aerospace",,,58
"Computer Science, Interdisciplinary Applications",,Engineering,58
Endocrinology & Metabolism,Medical and Health Sciences,Biology,58
Environmental Sciences,,Medicine,58
Oncology,Physical Sciences,Medicine,58
,Mathematical Sciences,Biology,57
,Information and Computing Sciences,Psychology,57
Instruments & Instrumentation,,,57
"Agriculture, Multidisciplinary",,Biology,57
Optics,Information and Computing Sciences,Physics,57
"Engineering, Chemical",,Chemistry,57
"Computer Science, Theory & Methods",Information and Computing Sciences;Technology,Computer science,57
"Chemistry, Applied",,Chemistry,57
,Information and Computing Sciences;Technology,,56
"Computer Science, Interdisciplinary Applications",Mathematical Sciences,Computer science,56
Mathematical & Computational Biology,Mathematical Sciences,Mathematics,56
Nanoscience & Nanotechnology,Engineering,Materials science,56
Meteorology & Atmospheric Sciences,Earth Sciences,Geology,56
Automation & Control Systems,Mathematical Sciences,Engineering,55
"Mathematics, Interdisciplinary Applications",Information and Computing Sciences,Mathematics,55
"Computer Science, Artificial Intelligence",Engineering;Information and Computing Sciences,Computer science,55
Mathematical & Computational Biology,,Computer science,55
Meteorology & Atmospheric Sciences,Earth Sciences,Mathematics,55
"Engineering, Chemical",Engineering,,54
,Biological Sciences,Mathematics,54
Agronomy,,,54
,Biological Sciences,Medicine,54
Green & Sustainable Science & Technology,Engineering,Economics,54
Biology,Mathematical Sciences,Mathematics,54
"Computer Science, Information Systems",Mathematical Sciences,Mathematics,54
"Materials Science, Composites",Engineering,Materials science,54
Immunology,Medical and Health Sciences,Biology,54
Energy & Fuels,Engineering,,53
"Engineering, Multidisciplinary",Engineering,Materials science,53
Water Resources,,Geology,53
"Engineering, Manufacturing",Engineering,Engineering,53
"Physics, Multidisciplinary",,Mathematics,53
,Physical Sciences,Materials science,53
"Engineering, Chemical",Engineering,Engineering,53
Geography,,Geography,53
Immunology,Biological Sciences,Biology,53
Neurosciences,Medical and Health Sciences,Computer science,53
"Engineering, Electrical & Electronic",Information and Computing Sciences,Physics,52
"Engineering, Environmental",,,52
"Engineering, Biomedical",,Engineering,52
Automation & Control Systems,Engineering,,52
"Engineering, Electrical & Electronic",Engineering;Technology,Mathematics,52
Energy & Fuels,,Chemistry,52
"Engineering, Biomedical",Engineering;Physical Sciences,Physics,52
"Agriculture, Dairy & Animal Science",,Biology,52
"Materials Science, Multidisciplinary",,Physics,51
"Computer Science, Hardware & Architecture",Information and Computing Sciences,,51
"Engineering, Electrical & Electronic",Engineering,Materials science,51
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,Engineering,51
"Radiology, Nuclear Medicine & Medical Imaging",Engineering;Physical Sciences,Medicine,51
"Engineering, Industrial",Engineering,Engineering,51
"Computer Science, Cybernetics",,Computer science,51
Biochemical Research Methods,,Computer science,51
"Engineering, Mechanical",Engineering,Physics,51
Environmental Sciences,Engineering,Mathematics,50
Mathematical & Computational Biology,,Biology,50
Microbiology,,Biology,50
Environmental Sciences,Engineering,Chemistry,50
"Hospitality, Leisure, Sport & Tourism",,Economics,49
,Mathematical Sciences,Physics,49
,Engineering;Physical Sciences,,49
,Information and Computing Sciences,Geology,49
"Engineering, Biomedical",,Physics,49
,Information and Computing Sciences;Mathematical Sciences,,49
"Computer Science, Information Systems",Engineering;Information and Computing Sciences,Computer science,49
Zoology,Biological Sciences,Biology,49
Geology,,Geology,49
Biodiversity Conservation,Biological Sciences,Biology,49
"Business, Finance",,Economics,48
"Computer Science, Software Engineering",Information and Computing Sciences,,48
"Physics, Multidisciplinary",Mathematical Sciences;Physical Sciences,Mathematics,48
"Computer Science, Information Systems",,Medicine,48
,Technology,Engineering,48
Pharmacology & Pharmacy,Medical and Health Sciences,Chemistry,48
"Computer Science, Theory & Methods",,Mathematics,47
"Chemistry, Analytical",,,47
,Physical Sciences,Computer science,47
"Engineering, Industrial",Information and Computing Sciences,Computer science,47
Metallurgy & Metallurgical Engineering,,,47
"Computer Science, Hardware & Architecture",Mathematical Sciences,Computer science,47
"Mathematics, Applied",Information and Computing Sciences,Mathematics,47
Cardiac & Cardiovascular Systems,,,47
"Computer Science, Information Systems",Information and Computing Sciences,Medicine,47
"Geography, Physical",Engineering,Geography,47
"Computer Science, Artificial Intelligence",Information and Computing Sciences;Mathematical Sciences,Mathematics,47
Metallurgy & Metallurgical Engineering,Engineering,Materials science,47
"Computer Science, Artificial Intelligence",Information and Computing Sciences;Technology,Computer science,47
Marine & Freshwater Biology,,Biology,47
"Agriculture, Multidisciplinary",Information and Computing Sciences,Engineering,47
Green & Sustainable Science & Technology,,Engineering,46
Otorhinolaryngology,,Medicine,46
"Psychology, Multidisciplinary",,,46
Acoustics,Engineering,Mathematics,46
"Computer Science, Information Systems",Information and Computing Sciences,Engineering,46
Automation & Control Systems,Technology,Computer science,46
Mechanics,Engineering,Physics,46
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,Physics,46
Agronomy,Biological Sciences,Biology,46
Biology,,,45
"Materials Science, Characterization & Testing",Engineering,Materials science,45
"Engineering, Electrical & Electronic",,Geography,45
"Computer Science, Theory & Methods",Information and Computing Sciences,Engineering,45
"Engineering, Electrical & Electronic",Physical Sciences,Physics,45
"Engineering, Biomedical",Engineering,Materials science,45
"Computer Science, Theory & Methods",Mathematical Sciences,Mathematics,45
"Engineering, Electrical & Electronic",,Materials science,44
Acoustics,,,44
Health Care Sciences & Services,,,44
"Geography, Physical",,Geography,44
Genetics & Heredity,,Biology,44
"Engineering, Multidisciplinary",,Physics,44
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Psychology,44
"Engineering, Electrical & Electronic",Mathematical Sciences,Engineering,44
"Engineering, Marine",Engineering,Engineering,44
"Chemistry, Medicinal",Information and Computing Sciences,Chemistry,44
Respiratory System,,Medicine,43
Meteorology & Atmospheric Sciences,Earth Sciences,Physics,43
Multidisciplinary Sciences,Information and Computing Sciences,Biology,43
Veterinary Sciences,,Medicine,43
Zoology,,Biology,43
,Information and Computing Sciences,Environmental science,42
Behavioral Sciences,,,42
Pathology,,Biology,42
Ophthalmology,,,42
"Computer Science, Artificial Intelligence",Medical and Health Sciences,Mathematics,42
Operations Research & Management Science,,,42
"Radiology, Nuclear Medicine & Medical Imaging",Physical Sciences,Medicine,42
,Engineering;Technology,Computer science,42
"Engineering, Manufacturing",,Engineering,42
Evolutionary Biology,Biological Sciences,Biology,42
Astronomy & Astrophysics,Information and Computing Sciences,Physics,42
Acoustics,,Medicine,42
"Computer Science, Interdisciplinary Applications",Engineering;Information and Computing Sciences,Computer science,42
Ergonomics,,Engineering,42
"Materials Science, Multidisciplinary",Engineering,,41
Communication,,,41
Plant Sciences,,,41
"Engineering, Aerospace",,Engineering,41
Critical Care Medicine,Medical and Health Sciences,Medicine,41
Oceanography,,Geology,41
Optics,Information and Computing Sciences,,41
Fisheries,,,41
"Engineering, Multidisciplinary",Engineering,,41
"Engineering, Aerospace",Engineering,Mathematics,41
Statistics & Probability,Economics;Mathematical Sciences,Mathematics,41
Nutrition & Dietetics,,Medicine,41
Integrative & Complementary Medicine,,Medicine,41
"Chemistry, Multidisciplinary",,Materials science,41
Education & Educational Research,Information and Computing Sciences,Computer science,41
"Computer Science, Artificial Intelligence",Engineering,Engineering,40
Multidisciplinary Sciences,Information and Computing Sciences,,40
"Psychology, Applied",,Psychology,40
Transportation Science & Technology,Information and Computing Sciences,Engineering,40
Entomology,,Biology,40
"Computer Science, Artificial Intelligence",,Engineering,40
"Psychology, Social",,Psychology,40
Ophthalmology,,Biology,40
Clinical Neurology,Medical and Health Sciences,Biology,40
Neuroimaging,Medical and Health Sciences,Psychology,40
Cell Biology,Medical and Health Sciences,Biology,40
"Chemistry, Multidisciplinary",Information and Computing Sciences,,39
Multidisciplinary Sciences,Biological Sciences,,39
"Agriculture, Multidisciplinary",,Engineering,39
"Engineering, Chemical",,,39
Dermatology,,Medicine,39
Political Science,,Political science,39
Toxicology,,Biology,39
,Engineering;Physical Sciences,Physics,39
Meteorology & Atmospheric Sciences,,Geology,39
Environmental Sciences,Engineering,Geography,39
Ophthalmology,,Psychology,39
"Engineering, Civil",Engineering,Mathematics,39
Multidisciplinary Sciences,Medical and Health Sciences,Psychology,39
"Dentistry, Oral Surgery & Medicine",,,38
,Engineering;Information and Computing Sciences;Technology,Computer science,38
"Engineering, Multidisciplinary",Information and Computing Sciences,,38
Water Resources,,,38
Telecommunications,Information and Computing Sciences;Technology,Computer science,38
Biology,,Computer science,38
Energy & Fuels,Mathematical Sciences,Engineering,37
"Engineering, Civil",,Engineering,37
"Computer Science, Information Systems",Mathematical Sciences,,37
Immunology,,,37
,Economics,Mathematics,37
Water Resources,Engineering,Geology,37
"Physics, Applied",,,37
"Computer Science, Artificial Intelligence",Engineering,Mathematics,37
Hematology,,Medicine,37
Agronomy,,Chemistry,37
Agricultural Engineering,,,37
,Information and Computing Sciences,Chemistry,37
"Engineering, Mechanical",,Computer science,37
Environmental Studies,,Economics,37
"Geosciences, Multidisciplinary",Engineering,Geology,37
,Physical Sciences,Mathematics,37
Biochemical Research Methods,Mathematical Sciences,Computer science,37
Acoustics,Information and Computing Sciences,Physics,37
Biodiversity Conservation,,,36
Nanoscience & Nanotechnology,,Materials science,36
Automation & Control Systems,Engineering;Information and Computing Sciences,Computer science,36
Psychiatry,,,36
Virology,Biological Sciences,Biology,36
"Education, Scientific Disciplines",,Sociology,36
"Computer Science, Information Systems",,Mathematics,36
Neurosciences,,Medicine,36
Multidisciplinary Sciences,,Geography,36
Allergy,,Medicine,36
Anesthesiology,,Medicine,36
"Engineering, Industrial",Mathematical Sciences,Engineering,35
"Computer Science, Artificial Intelligence",Mathematical Sciences,,35
"Radiology, Nuclear Medicine & Medical Imaging",Engineering;Physical Sciences,,35
Rehabilitation,,Medicine,35
Audiology & Speech-Language Pathology,Medical and Health Sciences,Psychology,35
