subject,discipline,arxiv_overlap
Information and Computing Sciences,Computer Software,1
Information and Computing Sciences,,1
Information and Computing Sciences,Data Format,1
Information and Computing Sciences,Library and Information Studies,1
Information and Computing Sciences,Other Information and Computing Sciences,1
Information and Computing Sciences,Distributed Computing,1
"Language, Communication and Culture",Linguistics,0
"Language, Communication and Culture",Literary Studies,0
"Language, Communication and Culture",Language Studies,0
"Language, Communication and Culture",Cultural Studies,0
"Language, Communication and Culture",,0
"Language, Communication and Culture",Communication and Media Studies,0
"Language, Communication and Culture","Other Language, Communication and Culture",0
Law and Legal Studies,Law,0
Law and Legal Studies,,0
Law and Legal Studies,Other Law and Legal Studies,0
Mathematical Sciences,Statistics,1
Mathematical Sciences,Applied Mathematics,1
Mathematical Sciences,Numerical and Computational Mathematics,1
Mathematical Sciences,,1
Mathematical Sciences,Pure Mathematics,1
Mathematical Sciences,Mathematical Physics,1
Medical and Health Sciences,Clinical Sciences,0
Medical and Health Sciences,Public Health and Health Services,0
Medical and Health Sciences,Neurosciences,1
Medical and Health Sciences,,0
Medical and Health Sciences,Cardiorespiratory Medicine and Haematology,0
Medical and Health Sciences,Oncology and Carcinogenesis,0
Medical and Health Sciences,Paediatrics and Reproductive Medicine,0
Medical and Health Sciences,Nursing,0
Medical and Health Sciences,Ophthalmology and Optometry,0
Medical and Health Sciences,Human Movement and Sports Science,0
Medical and Health Sciences,Pharmacology and Pharmaceutical Sciences,0
Medical and Health Sciences,Dentistry,0
Medical and Health Sciences,Immunology,0
Medical and Health Sciences,Other Medical and Health Sciences,0
Medical and Health Sciences,Medical Microbiology,0
Medical and Health Sciences,Medical Physiology,0
Medical and Health Sciences,Nutrition and Dietetics,0
Medical and Health Sciences,Complementary and Alternative Medicine,0
Medical and Health Sciences,Medical Biochemistry and Metabolomics,0
Philosophy and Religious Studies,Philosophy,0
Philosophy and Religious Studies,Religion and Religious Studies,0
Philosophy and Religious Studies,History and Philosophy of Specific Fields,0
Philosophy and Religious Studies,Applied Ethics,0
Philosophy and Religious Studies,,0
Philosophy and Religious Studies,Other Philosophy and Religious Studies,0
Physical Sciences,Other Physical Sciences,1
Physical Sciences,,1
Physical Sciences,Optical Physics,1
Physical Sciences,Classical Physics,1
Physical Sciences,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",1
Physical Sciences,Condensed Matter Physics,1
Physical Sciences,Astronomical and Space Sciences,1
Physical Sciences,Quantum Physics,1
Psychology and Cognitive Sciences,Psychology,0
Psychology and Cognitive Sciences,Cognitive Sciences,0
Psychology and Cognitive Sciences,,0
Psychology and Cognitive Sciences,Other Psychology and Cognitive Sciences,0
Studies in Creative Arts and Writing,Performing Arts and Creative Writing,0
Studies in Creative Arts and Writing,"Film, Television and Digital Media",0
Studies in Creative Arts and Writing,Visual Arts and Crafts,0
Studies in Creative Arts and Writing,Art Theory and Criticism,0
Studies in Creative Arts and Writing,Journalism and Professional Writing,0
Studies in Creative Arts and Writing,,0
Studies in Creative Arts and Writing,Other Studies In Creative Arts and Writing,0
Studies in Human Society,Political Science,0
Studies in Human Society,Sociology,0
Studies in Human Society,Policy and Administration,0
Studies in Human Society,Other Studies In Human Society,0
Studies in Human Society,Anthropology,0
Studies in Human Society,Human Geography,0
Studies in Human Society,,0
Studies in Human Society,Criminology,0
Studies in Human Society,Social Work,0
Studies in Human Society,Demography,0
Technology,Communications Technologies,1
Technology,,1
Technology,Nanotechnology,1
Technology,Medical Biotechnology,1
Technology,Other Technology,1
Technology,Computer Hardware,1
Technology,Industrial Biotechnology,1
Technology,Agricultural Biotechnology,1
Technology,Environmental Biotechnology,1
