country,eu,usa,china
Guinea-Bissau,FALSE,FALSE,FALSE
Guyana,FALSE,FALSE,FALSE
Haiti,FALSE,FALSE,FALSE
Honduras,FALSE,FALSE,FALSE
Hungary,TRUE,FALSE,FALSE
Iceland,FALSE,FALSE,FALSE
India,FALSE,FALSE,FALSE
Indonesia,FALSE,FALSE,FALSE
Iran,FALSE,FALSE,FALSE
Iraq,FALSE,FALSE,FALSE
Ireland,TRUE,FALSE,FALSE
Isle of Man,FALSE,FALSE,FALSE
Israel,FALSE,FALSE,FALSE
Italy,TRUE,FALSE,FALSE
Ivory Coast,FALSE,FALSE,FALSE
Jamaica,FALSE,FALSE,FALSE
Japan,FALSE,FALSE,FALSE
Jersey,FALSE,FALSE,FALSE
Jordan,FALSE,FALSE,FALSE
Kazakhstan,FALSE,FALSE,FALSE
Kenya,FALSE,FALSE,FALSE
Kosovo,FALSE,FALSE,FALSE
Kuwait,FALSE,FALSE,FALSE
Kyrgyzstan,FALSE,FALSE,FALSE
Laos,FALSE,FALSE,FALSE
Latvia,TRUE,FALSE,FALSE
Lebanon,FALSE,FALSE,FALSE
Lesotho,FALSE,FALSE,FALSE
Liberia,FALSE,FALSE,FALSE
Libya,FALSE,FALSE,FALSE
Liechtenstein,FALSE,FALSE,FALSE
Lithuania,TRUE,FALSE,FALSE
Luxembourg,TRUE,FALSE,FALSE
Macao,FALSE,FALSE,FALSE
Macedonia,FALSE,FALSE,FALSE
Madagascar,FALSE,FALSE,FALSE
Malawi,FALSE,FALSE,FALSE
Malaysia,FALSE,FALSE,FALSE
Maldives,FALSE,FALSE,FALSE
Mali,FALSE,FALSE,FALSE
Malta,TRUE,FALSE,FALSE
Martinique,FALSE,FALSE,FALSE
Mauritania,FALSE,FALSE,FALSE
Mauritius,FALSE,FALSE,FALSE
Mexico,FALSE,FALSE,FALSE
Micronesia,FALSE,FALSE,FALSE
Moldova,FALSE,FALSE,FALSE
Monaco,FALSE,FALSE,FALSE
Mongolia,FALSE,FALSE,FALSE
Montenegro,FALSE,FALSE,FALSE
Montserrat,FALSE,FALSE,FALSE
Morocco,FALSE,FALSE,FALSE
Mozambique,FALSE,FALSE,FALSE
Myanmar,FALSE,FALSE,FALSE
Namibia,FALSE,FALSE,FALSE
Nepal,FALSE,FALSE,FALSE
Netherlands,TRUE,FALSE,FALSE
New Caledonia,FALSE,FALSE,FALSE
New Zealand,FALSE,FALSE,FALSE
Nicaragua,FALSE,FALSE,FALSE
Niger,FALSE,FALSE,FALSE
Nigeria,FALSE,FALSE,FALSE
North Korea,FALSE,FALSE,FALSE
Norway,FALSE,FALSE,FALSE
Oman,FALSE,FALSE,FALSE
Pakistan,FALSE,FALSE,FALSE
Palau,FALSE,FALSE,FALSE
Panama,FALSE,FALSE,FALSE
Papua New Guinea,FALSE,FALSE,FALSE
Paraguay,FALSE,FALSE,FALSE
Peru,FALSE,FALSE,FALSE
Philippines,FALSE,FALSE,FALSE
Poland,TRUE,FALSE,FALSE
Portugal,TRUE,FALSE,FALSE
Qatar,FALSE,FALSE,FALSE
Republic of the Congo,FALSE,FALSE,FALSE
Reunion,FALSE,FALSE,FALSE
Romania,TRUE,FALSE,FALSE
Russia,FALSE,FALSE,FALSE
Rwanda,FALSE,FALSE,FALSE
Saint Kitts and Nevis,FALSE,FALSE,FALSE
Saint Lucia,FALSE,FALSE,FALSE
Saint Vincent and the Grenadines,FALSE,FALSE,FALSE
Samoa,FALSE,FALSE,FALSE
San Marino,FALSE,FALSE,FALSE
Sao Tome and Principe,FALSE,FALSE,FALSE
Saudi Arabia,FALSE,FALSE,FALSE
Senegal,FALSE,FALSE,FALSE
Serbia,FALSE,FALSE,FALSE
Seychelles,FALSE,FALSE,FALSE
Sierra Leone,FALSE,FALSE,FALSE
Singapore,FALSE,FALSE,FALSE
Sint Maarten,FALSE,FALSE,FALSE
Slovakia,TRUE,FALSE,FALSE
Slovenia,TRUE,FALSE,FALSE
Solomon Islands,FALSE,FALSE,FALSE
Somalia,FALSE,FALSE,FALSE
South Africa,FALSE,FALSE,FALSE
South Korea,FALSE,FALSE,FALSE
South Sudan,FALSE,FALSE,FALSE
Spain,TRUE,FALSE,FALSE
Sri Lanka,FALSE,FALSE,FALSE
State of Palestine,FALSE,FALSE,FALSE
Sudan,FALSE,FALSE,FALSE
Suriname,FALSE,FALSE,FALSE
Svalbard and Jan Mayen,FALSE,FALSE,FALSE
Swaziland,FALSE,FALSE,FALSE
Sweden,TRUE,FALSE,FALSE
Switzerland,FALSE,FALSE,FALSE
Syria,FALSE,FALSE,FALSE
Taiwan,FALSE,FALSE,FALSE
Tajikistan,FALSE,FALSE,FALSE
Tanzania,FALSE,FALSE,FALSE
Thailand,FALSE,FALSE,FALSE
Togo,FALSE,FALSE,FALSE
Tonga,FALSE,FALSE,FALSE
Trinidad and Tobago,FALSE,FALSE,FALSE
Tunisia,FALSE,FALSE,FALSE
Turkey,FALSE,FALSE,FALSE
Turkmenistan,FALSE,FALSE,FALSE
Turks and Caicos Islands,FALSE,FALSE,FALSE
Tuvalu,FALSE,FALSE,FALSE
Uganda,FALSE,FALSE,FALSE
Ukraine,FALSE,FALSE,FALSE
United Arab Emirates,FALSE,FALSE,FALSE
United Kingdom,FALSE,FALSE,FALSE
United States,FALSE,TRUE,FALSE
Uruguay,FALSE,FALSE,FALSE
Uzbekistan,FALSE,FALSE,FALSE
Vatican,FALSE,FALSE,FALSE
Venezuela,FALSE,FALSE,FALSE
Vietnam,FALSE,FALSE,FALSE
Yemen,FALSE,FALSE,FALSE
Zambia,FALSE,FALSE,FALSE
Zimbabwe,FALSE,FALSE,FALSE
